UUID,Name,Parent UUID,Unique BISAC Codes [CSV]
100,Ancient World,,
200,Anthropology,,
300,Art & Architecture,,
400,Biology,,
500,Computer Science & Electrical Engineering,,
600,Earth Science,,
700,Economics & Finance,,
800,Education,,
900,History,,
1000,History Of Knowledge Science,,
1100,Literature,,
1200,Mathematics,,
1300,Nature Field Guides,,
1400,Neuroscience And Psychology,,
1500,Philosophy,,
1600,Physics & Astronomy,,
1700,Politics,,
1800,Religion,,
1900,Sociology,,
101,Ancient History,100,"HIS002030,HIS002000,HIS002010,HIS002020"
102,Classics and Mythology,100,"LIT004190,LCO003000,SOC011000,FOR016000,REL114000,REL072000"
103,Art and Archaeology,100,"SOC003000,ART015060"
201,Science and Technology Studies,200,"COM060000,COM080000,COM087000,COM079000,COM057000,COM060140,GAM016000,GAM004000,LAN004000,SOC010000,SOC032000,SOC052000,SOC028000,TEC052000"
202,Medical Anthropology,200,"HEA000000,HEA028000,HEA039140,SOC002000,MED050000,SOC036000,SOC010000,SOC032000,SOC028000"
203,Biological Anthropology,200,"NAT002000,SCI056000,SCI070050,SOC002000,SOC002020"
204,Cultural Anthropology,200,"EDU043000,FAM000000,LAW016000,LAW043000,SOC002010,SOC002000,SOC005000,SOC042000,SOC010000,SOC032000,SOC045000,SOC028000"
205,Anthropology of Religion,200,"SOC048000,SOC049000,SOC028000"
206,Archaeology,200,SOC003000
301,African and Middle Eastern,300,"ART038000,ART015010,ART047000"
302,American and Latin American,300,"ART038000,ART039000,ART015020,ART044000"
303,Ancient,300,ART015060
304,Architecture and Urban Studies,300,"ARC024000,ARC024010,ARC011000,ARC003000,ARC001000,ARC002000,ARC004000,ARC000000,ARC014000,ARC005020,ARC005050,ARC005080,ARC005000,ARC005030,ARC005070,ARC006000,ARC008000,ARC009000,ARC015000,ARC020000,ARC018000,ARC010000,ART050020,POL002000,SOC026030"
305,Asian and Southeast Asian,300,"ART039000,ART019000"
306,European,300,"ART015030,ART015090,ART015070,ART015080,ART015120"
307,General,300,"ART006000,ART006020,ART009000,ART059000,ART000000,ART015000,ART050000,ART050010,ART050020,ART050030,ART050040,ART035000,ART003000,ART010000,ART028000,ART020000,ART053000,BIO001000"
308,Modern and Contemporary,300,ART015110
309,Photography,300,"ART057000,PHO004000,PHO000000,PHO010000,PHO011000,PHO011030,PHO015000,PHO023100,PHO013000,PHO016000,PHO019000"
401,Ecology,400,"SCI020000,NAT010000"
402,Evolution,400,SCI027000
403,Animal Behavior,400,SCI070060
404,Microbiology,400,"SCI045000,SCI099000"
405,Paleontology,400,SCI054000
406,Conservation,400,"SCI013080,NAT011000"
407,Genetics and Genomics,400,SCI029000
408,Ocean and Marine,400,SCI039000
409,Entomology,400,SCI025000
410,Biological Anthropology,400,SOC002020
411,"Cell, Molecular, and Developmental",400,"SCI017000,SCI072000,SCI049000"
412,Other,400,SCI011000
501,Algorithms,500,"COM060090,COM044000,COM051300,COM060120"
502,Artificial Intelligence and Robotics,500,"COM004000,TEC037000"
503,Computer Graphics and Vision,500,COM089000
504,Computational Science and Modeling,500,"COM082000,COM062000,COM077000"
505,Cryptography and Cybersecurity,500,"COM083000,COM053000,COM060040"
506,Computer Engineering and Hardware,500,"COM059000,COM067000,TEC008000,TEC008090"
507,General,500,"COM014000,COM000000,COM052000,COM020000,COM018000,COM032000,COM043000"
508,History and Philosophy,500,"COM080000,COM060000,COM079000,COM057000,TEC052000,SCI075000"
509,Information Theory,500,COM031000
510,Programming and Software Engineering,500,"COM034000,COM051300,COM051000,COM051390,COM051220,COM051360,COM051230"
511,Theory of Computation,500,COM037000
601,General,600,"SCI019000,SCI032000"
602,Geology,600,"SCI031000,SCI082000,NAT009000,NAT030000"
603,Atmosphere,600,"SCI042000,NAT036000"
604,"Hydrology, Limnology, & Oceanography",600,"SCI081000,SCI083000,SCI052000"
605,Climate & Environment,600,"SCI092000,SCI026000,NAT011000,NAT038000"
606,Paleontology,600,SCI054000
607,History,600,"Science - History AND,SCI019000,SCI031000,SCI082000,SCI052000,SCI042000,SCI092000,SCI026000,SCI054000"
701,Development Economics and Environmental Economics,700,"BUS020000,BUS068000,BUS072000,BUS024000,BUS025000,BUS099000,BUS094000,BUS062000"
702,Economic History and History of Economic Thought,700,"BUS023000,BUS077000"
703,Econometrics and Economic Methodology,700,"BUS021000,BUS061000"
704,Economic Theory,700,"BUS069030,BUS019000,BUS029000"
705,International Economics,700,"BUS069010,BUS026000,BUS028000,BUS113000,BUS035000,BUS001030,BUS069020,BUS043030,BUS064020,BUS112000"
706,Macroeconomics,700,"BUS039000,BUS022000,BUS086000,BUS038000"
707,Microeconomics,700,BUS044000
708,Monetary Economics and Economic Policy,700,"BUS004000,BUS104000,BUS079000,BUS082000,BUS070010,BUS070020,BUS070030,BUS070160,BUS070040,BUS070110,BUS070090,BUS070140,BUS070120,BUS070000,BUS081000,BUS070050,BUS070060,BUS070150,BUS070070,BUS070130,BUS057000,BUS070080,BUS070100,BUS032000,BUS034000,BUS045000,BUS064000,BUS064010,BUS064030,BUS067000"
709,Political Economy,700,POL023000
710,Finance,700,"BUS017000,BUS017010,BUS017020,BUS017030,BUS027010,BUS027020,BUS027000,BUS027030,BUS033000,BUS033010,BUS033020,BUS033040,BUS033050,BUS033060,BUS033080,BUS033070,BUS036070,BUS036010,BUS014000,BUS014010,BUS014020,BUS036080,BUS036020,BUS036000,BUS036030,BUS036040,BUS036090,BUS036050,BUS036060,BUS015000,BUS074010,BUS050010,BUS050000,BUS050020,BUS050030,BUS050040,BUS050050,BUS051000"
